Segment ID,day,Direction,LBoro,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM,daily_volume
174566,Weekend,SB-SER,2.0,33.25,23.0,19.75,15.0,12.75,13.0,33.5,74.5,117.75,145.25,154.0,176.0,190.0,173.75,178.25,184.5,164.75,196.75,164.25,135.25,103.25,80.75,63.5,69.25,2522.0
175385,Weekday,SB,4.0,99.14285714285714,65.92857142857143,48.07142857142857,41.642857142857146,54.142857142857146,59.642857142857146,122.14285714285714,222.14285714285714,220.28571428571428,223.21428571428572,209.07142857142858,227.42857142857142,230.57142857142858,219.85714285714286,250.78571428571428,265.7857142857143,296.57142857142856,317.92857142857144,305.14285714285717,288.0,239.28571428571428,206.64285714285714,150.28571428571428,125.28571428571429,4489.0
175385,Weekend,SB,4.0,192.875,155.0,117.375,96.625,104.875,77.875,81.125,96.375,146.125,205.625,223.875,238.875,258.375,287.625,290.0,290.875,292.125,306.375,303.5,283.75,266.375,252.125,212.5,181.625,4961.875
175499,Weekday,NB,4.0,85.57142857142857,58.285714285714285,48.142857142857146,49.142857142857146,61.714285714285715,87.42857142857143,178.28571428571428,237.14285714285714,232.5,230.64285714285714,217.0,232.0,237.28571428571428,235.92857142857142,244.14285714285714,255.28571428571428,268.07142857142856,252.57142857142858,273.07142857142856,259.07142857142856,244.35714285714286,210.92857142857142,163.85714285714286,122.85714285714286,4485.285714285715
175499,Weekday,SB,4.0,95.21428571428571,71.64285714285714,44.714285714285715,48.07142857142857,70.42857142857143,94.57142857142857,190.0,258.85714285714283,282.0,288.7142857142857,284.7857142857143,279.5,273.35714285714283,297.14285714285717,311.42857142857144,311.7857142857143,321.7142857142857,328.57142857142856,302.92857142857144,291.92857142857144,267.0,214.92857142857142,189.78571428571428,146.42857142857142,5265.5
175499,Weekend,NB,4.0,170.5,137.0,106.875,89.875,107.125,95.625,117.625,154.375,179.125,193.125,235.75,244.75,255.875,261.375,250.375,259.5,267.125,263.75,258.125,251.625,274.125,251.5,201.125,171.5,4797.75
175499,Weekend,SB,4.0,187.0,149.125,118.5,98.25,121.25,103.125,126.625,155.5,190.75,265.5,265.125,305.375,314.625,307.0,328.625,327.375,318.125,314.625,296.5,323.0,315.125,266.375,226.375,198.0,5621.875
175696,Weekday,WB,2.0,1172.8,770.0,646.8,791.6,1201.0,1670.6,2455.8,3294.4,3114.8,2450.6,2136.0,2157.6,2234.0,2309.0,2545.2,2574.4,2409.0,2203.6,1979.2,1754.8,1520.2,1310.6,1926.0,1837.2,46465.2
175696,Weekend,WB,2.0,1187.6666666666667,907.3333333333334,641.3333333333334,328.3333333333333,376.0,468.0,660.3333333333334,837.6666666666666,984.6666666666666,1188.3333333333333,1442.0,1569.6666666666667,1590.3333333333333,1620.6666666666667,1713.0,1649.3333333333333,1632.3333333333333,1561.3333333333333,1618.6666666666667,1562.0,1340.6666666666667,994.0,895.0,705.0,27473.666666666668
175828,Weekday,EB,2.0,91.5,55.5,42.5,30.75,40.25,67.25,121.75,285.0,444.75,294.5,286.25,331.0,310.5,307.25,361.0,410.25,425.0,435.25,410.5,339.0,290.75,206.75,194.25,155.25,5936.75
175828,Weekday,WB,2.0,78.25,54.25,38.0,29.0,33.75,41.25,81.75,175.0,333.25,286.25,254.25,232.0,269.0,295.5,304.5,405.5,445.0,399.0,367.0,291.25,242.75,194.5,159.5,135.5,5146.0
175828,Weekend,EB,2.0,212.0,157.5,137.0,92.5,119.0,93.0,85.0,78.5,132.0,184.0,227.0,236.0,295.0,308.0,313.0,366.0,381.0,400.0,384.0,385.0,364.0,326.0,260.0,295.0,5879.0
175828,Weekend,WB,2.0,175.0,132.5,99.0,88.5,104.0,76.5,57.5,58.0,101.0,145.5,170.5,190.5,261.0,277.0,277.0,300.0,298.0,286.0,342.0,311.0,261.0,255.0,242.0,197.0,4738.0
176139,Weekday,EB,2.0,80.2,54.4,36.4,28.8,39.2,71.6,133.2,242.6,283.6,209.2,189.0,196.0,212.0,215.2,246.0,281.0,331.0,312.2,283.8,218.0,194.8,149.0,124.8,108.6,4240.6
176139,Weekday,WB,2.0,125.2,81.0,50.2,45.0,62.8,138.0,324.4,512.2,507.0,376.6,331.2,333.8,370.8,408.4,437.6,479.2,513.8,510.8,426.2,376.4,302.6,250.4,214.4,172.8,7350.8
